ID,Title,Type,Epic,Priority,Points,Sprint,Status,Description,Acceptance Criteria
TRUST-1.1,[E1] Trust Component Type Definitions,Story,Epic 1: Enhanced Trust Scoring,P0-Blocker,2,Sprint 1,Todo,"As a developer, I need TypeScript interfaces for the enhanced trust scoring system.","TrustComponents interface; ComponentScore interface; EnhancedTrustScore interface; TrustTier type; Types exported; JSDoc comments"
TRUST-1.2,[E1] Decision Accuracy Calculator,Story,Epic 1: Enhanced Trust Scoring,P1-High,3,Sprint 1,Todo,"As the trust system, I need to calculate decision accuracy from task approval rates.","Query 90-day task history; Calculate approval rate; Risk-adjusted weighting; Return ComponentScore; Handle 0 tasks edge case; Confidence at 100+ samples"
TRUST-1.3,[E1] Ethics Compliance Calculator,Story,Epic 1: Enhanced Trust Scoring,P1-High,2,Sprint 1,Todo,"As the trust system, I need to calculate ethics compliance from violations.","Query violations 90-day; Query escalations 90-day; Start 100 deduct 10/5; Floor at 0; Return ComponentScore; Integrate SecurityLayer"
TRUST-1.4,[E1] Task Success Calculator,Story,Epic 1: Enhanced Trust Scoring,P1-High,2,Sprint 2,Todo,"As the trust system, I need to calculate task success rate.","Query completed tasks; Query failed tasks; Calculate ratio; Handle 0 tasks; Return ComponentScore; Use PersistenceLayer"
TRUST-1.5,[E1] Operational Stability Calculator,Story,Epic 1: Enhanced Trust Scoring,P1-High,2,Sprint 2,Todo,"As the trust system, I need to calculate operational stability.","Query error count; Query response time; Error penalty -5 max -50; Response penalty; Floor at 0; Return ComponentScore"
TRUST-1.6,[E1] Peer Reviews Calculator,Story,Epic 1: Enhanced Trust Scoring,P1-High,2,Sprint 2,Todo,"As the trust system, I need to calculate peer reviews from Blackboard.","Query contributions; Count endorsements; Count solutions; Score formula capped 100; Return ComponentScore; Integrate Blackboard"
TRUST-1.7,[E1] Weighted Score Aggregation,Story,Epic 1: Enhanced Trust Scoring,P0-Blocker,2,Sprint 2,Todo,"As the trust system, I need to aggregate scores with weighting.","Apply 35/25/20/15/5 weights; Calculate weighted sum; Scale 300-1000; Apply inheritance; Apply penalties; Derive tier; Calculate trend"
TRUST-1.8,[E1] TrustEngine Integration,Story,Epic 1: Enhanced Trust Scoring,P0-Blocker,3,Sprint 2,Todo,"As the trust system, I need to integrate TrustScoreCalculator.","Feature flag USE_FICO_SCORING; Inject calculator; Modify createTrust; Modify reward/penalize; Preserve inheritance; Emit events; Backward compat"
TRUST-2.1,[E2] Audit Entry Type Definitions,Story,Epic 2: Cryptographic Audit,P0-Blocker,1,Sprint 1,Todo,"As a developer, I need TypeScript interfaces for cryptographic audit.","CryptographicAuditEntry extends; sequenceNumber field; previousHash field; entryHash field; merkleRoot optional; AuditChainStatus interface"
TRUST-2.2,[E2] Hash Computation Module,Story,Epic 2: Cryptographic Audit,P0-Blocker,2,Sprint 1,Todo,"As the audit system, I need reliable hash computation.","Use crypto SHA-256; Deterministic JSON; Exclude entryHash; Handle Dates ISO; Handle null; Return 64 char hex"
TRUST-2.3,[E2] Chain-Linked Entry Logging,Story,Epic 2: Cryptographic Audit,P0-Blocker,2,Sprint 1,Todo,"As the audit system, I need chain-linked entries.","First entry GENESIS; Subsequent use previous hash; Increment sequence; Compute entryHash; Persist immediately; Return entry; Emit event"
TRUST-2.4,[E2] Chain Verification,Story,Epic 2: Cryptographic Audit,P0-Blocker,2,Sprint 1,Todo,"As a compliance officer, I need to verify chain integrity.","Verify any range; Check previousHash matches; Recompute and verify; Return AuditChainStatus; Identify break point; Handle missing entries"
TRUST-2.5,[E2] Compliance Export,Story,Epic 2: Cryptographic Audit,P1-High,1,Sprint 2,Todo,"As a compliance officer, I need to export audit logs.","Export by date range; JSON includes status; CSV format; Include metadata; Sign export optional; Stream large exports"
TRUST-2.6,[E2] SecurityLayer Integration,Story,Epic 2: Cryptographic Audit,P0-Blocker,2,Sprint 2,Todo,"As the security system, I need to integrate cryptographic audit.","Feature flag USE_CRYPTO_AUDIT; Inject logger; Replace logAudit calls; Migrate existing; Preserve queries; Add verifyChain; Backward compat"
TRUST-3.1,[E3] Council Type Definitions,Story,Epic 3: Council Governance,P0-Blocker,2,Sprint 2,Todo,"As a developer, I need TypeScript interfaces for council.","CouncilMember interface; CouncilReview interface; CouncilVote interface; Precedent interface; Request types enum; Status types enum"
TRUST-3.2,[E3] Council Member Management,Story,Epic 3: Council Governance,P1-High,3,Sprint 3,Todo,"As the council system, I need to manage membership.","Only T4+ members; Register member; Unregister member; List members; Track activeReviews max 3; Auto-unregister on tier drop; Emit events"
TRUST-3.3,[E3] Reviewer Selection Algorithm,Story,Epic 3: Council Governance,P1-High,3,Sprint 3,Todo,"As the council system, I need to select reviewers.","Select 3 reviewers; Exclude requester; Prefer < 3 active; Prefer diverse; Weight T5 higher; Fallback any T4+; Fail if < 3"
TRUST-3.4,[E3] Review Submission,Story,Epic 3: Council Governance,P0-Blocker,3,Sprint 3,Todo,"As an agent, I need to submit for review.","Create review with ID timestamp expiry; Select reviewers; Increment activeReviews; Persist; Notify via MessageBus; Return pending; Log audit"
TRUST-3.5,[E3] Voting Mechanism,Story,Epic 3: Council Governance,P0-Blocker,3,Sprint 3,Todo,"As a council member, I need to vote.","Only assigned can vote; Options approve reject abstain; Reasoning required; Cannot vote decided; Cannot change vote; Persist immediately; Emit event"
TRUST-3.6,[E3] Decision Resolution,Story,Epic 3: Council Governance,P0-Blocker,3,Sprint 3,Todo,"As the council, I need to resolve reviews.","2/3 approve = approved; 2/3 reject = rejected; Timeout = escalate; Synthesize reasoning; Update status; Decrement activeReviews; Notify requester"
TRUST-3.7,[E3] Precedent Service,Story,Epic 3: Council Governance,P1-High,3,Sprint 3,Todo,"As the council, I need precedent management.","Create from decision; Store patterns; Calculate similarity; Auto-apply > 0.9; Reference in decision; Allow override; Persist across restarts"
TRUST-3.8,[E3] HITL Gateway Integration,Story,Epic 3: Council Governance,P0-Blocker,3,Sprint 3,Todo,"As governance, I need council routing.","HITL >= 50% = human; HITL < 50% = council; EMERGENCY = human; Timeout = escalate; Map types; Await decision; Feature flag USE_COUNCIL"
TRUST-4.1,[E4] Delegation Type Definitions,Story,Epic 4: Delegation & Budgets,P0-Blocker,1,Sprint 4,Todo,"As a developer, I need delegation interfaces.","DelegationRequest interface; ActiveDelegation interface; Status types; Permission types; Duration in ms; Types exported"
TRUST-4.2,[E4] Delegation Request Creation,Story,Epic 4: Delegation & Budgets,P0-Blocker,2,Sprint 4,Todo,"As an agent, I need to request capabilities.","Create with caps reason duration; Validate capabilities; Validate duration max 24h; Attach track record; Count similar approvals; Persist; Log audit"
TRUST-4.3,[E4] Auto-Approval Logic,Story,Epic 4: Delegation & Budgets,P1-High,2,Sprint 4,Todo,"As high-trust agent, I need auto-approval.","Auto if T4+ 90% 3+ 1h no-restricted; Create ActiveDelegation; Set expiry; Log audit; Emit event"
TRUST-4.4,[E4] Delegation Approval Routing,Story,Epic 4: Delegation & Budgets,P0-Blocker,2,Sprint 4,Todo,"As delegation system, I need approval routing.","Route to council or human; HITL >= 50% = human; HITL < 50% = council; Await decision; Create on approval; Mark rejected; Notify requester"
TRUST-4.5,[E4] Active Delegation Management,Story,Epic 4: Delegation & Budgets,P0-Blocker,2,Sprint 4,Todo,"As delegation system, I need to manage active.","Store per agent; Check expiry; Remove expired; Allow revocation; checkCapability includes; List for agent; Emit events"
TRUST-4.6,[E4] Autonomy Budget Types,Story,Epic 4: Delegation & Budgets,P0-Blocker,1,Sprint 4,Todo,"As a developer, I need budget interfaces.","DailyBudget interface; BudgetAction interface; TierBudgets const; T5 unlimited -1; Types exported"
TRUST-4.7,[E4] Budget Creation & Reset,Story,Epic 4: Delegation & Budgets,P0-Blocker,2,Sprint 4,Todo,"As autonomy system, I need budget lifecycle.","Create if not exists; Set limits by tier; Reset midnight UTC; Preserve history; Handle tier changes; Persist; Emit reset event"
TRUST-4.8,[E4] Budget Enforcement,Story,Epic 4: Delegation & Budgets,P0-Blocker,3,Sprint 4,Todo,"As autonomy system, I need enforcement.","canPerformAction checks; Return allowed/reason; Return remaining; recordAction increments; T5 always allowed; Track actions; Emit events"
TRUST-5.1,[E5] Trust Component Endpoints,Story,Epic 5: API & Frontend,P1-High,2,Sprint 5,Todo,"As API consumer, I need trust component endpoints.","GET /trust/:id/components; Response includes all; GET history with days; Daily snapshots; Requires T2+; 404 if not found"
TRUST-5.2,[E5] Audit Verification Endpoints,Story,Epic 5: API & Frontend,P0-Blocker,2,Sprint 5,Todo,"As compliance officer, I need audit endpoints.","GET /audit/verify; Return AuditChainStatus; GET /audit/export JSON CSV; Include status; HUMAN token only; Stream large"
TRUST-5.3,[E5] Council Endpoints,Story,Epic 5: API & Frontend,P1-High,2,Sprint 5,Todo,"As council member, I need council endpoints.","GET /council/reviews; GET detail; POST vote; GET members; T4+ for voting; Appropriate errors"
TRUST-5.4,[E5] Delegation & Budget Endpoints,Story,Epic 5: API & Frontend,P1-High,2,Sprint 5,Todo,"As agent/operator, I need delegation endpoints.","POST request; GET active; DELETE revoke; GET budget; POST action; Appropriate auth"
TRUST-5.5,[E5] Trust Score Gauge Component,Story,Epic 5: API & Frontend,P1-High,3,Sprint 5,Todo,"As user, I need trust gauge visual.","Circular 300-1000; Color gradient; Tier badge center; Trend arrow; Hover breakdown; Animate change; Responsive"
TRUST-5.6,[E5] Component Breakdown Panel,Story,Epic 5: API & Frontend,P1-High,2,Sprint 5,Todo,"As user, I need component breakdown.","Bar chart 5 components; Labeled bars; Raw and weight; Color coded; Confidence indicator; Tooltip details"
TRUST-5.7,[E5] Council Review Panel,Story,Epic 5: API & Frontend,P1-High,3,Sprint 5,Todo,"As council member, I need review panel.","Pending reviews list; Card with type requester; Expandable detail; Vote buttons; Reasoning required; Confidence slider; Show votes; Auto-refresh"
TRUST-5.8,[E5] Delegation Request Modal,Story,Epic 5: API & Frontend,P2-Medium,2,Sprint 5,Todo,"As operator, I need delegation modal.","Modal from detail; Capability checklist; Reason field; Duration selector; Show eligibility; Loading state; Feedback"
TRUST-5.9,[E5] Autonomy Budget Widget,Story,Epic 5: API & Frontend,P1-High,2,Sprint 5,Todo,"As user, I need budget widget.","Progress bar; Percentage label; Reset countdown; Color depletes; Tooltip tier limits; Real-time update"
TRUST-5.10,[E5] Dashboard Integration,Story,Epic 5: API & Frontend,P0-Blocker,3,Sprint 5,Todo,"As user, I need integrated dashboard.","Gauge in agent cards; Breakdown in modal; Council sidebar T4+; Budget in cards; Delegation button; Audit footer; 30s refresh"
